product_code,manifest_main_category_slug,manifest_subcategory_slug,final_main_category_slug,final_subcategory_slug,notes
HGD-430,glassware-drinkware,decorative-glassware,glassware-drinkware,decorative-glassware,
HJS-422,jar-storage,glass-jars,jar-storage,glass-jars,
HTC-266,tea-coffee-sets,tea-cup-sets,tea-coffee-sets,tea-cup-sets,
HTC-267,tea-coffee-sets,tea-cup-sets,tea-coffee-sets,tea-cup-sets,
HBS-376,bowls,bowl-sets,bowls,ceramic-bowl-sets,Mapped Bowl Sets to existing Ceramic Bowl Sets.
HBS-377,bowls,bowl-sets,bowls,ceramic-bowl-sets,Mapped Bowl Sets to existing Ceramic Bowl Sets.
HBS-378,bowls,bowl-sets,bowls,ceramic-bowl-sets,Mapped Bowl Sets to existing Ceramic Bowl Sets.
HBS-379,bowls,serving-bowls,bowls,serving-bowls,
HBS-380,bowls,serving-bowls,bowls,serving-bowls,
HBS-381,plates,serving-plates,plates,serving-plates,
HBS-382,bowls,serving-bowls,bowls,serving-bowls,
HBS-383,bowls,serving-bowls,bowls,serving-bowls,
